dataset,task_type,model,n_train,n_val,n_test,n_features,best_validation_score,best_params,train_time_sec,inference_time_per_sample_ms,rmse,accuracy,auc_roc
wine,classification,Random Forest,106,36,36,13,1.0,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.1381032499994035,0.4115694444206181,,1.0,1.0
divorce,classification,Random Forest,102,34,34,54,1.0,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.14060637500006123,0.4369975587692084,,0.9411764705882353,0.9896193771626297
german_credit,classification,Random Forest,600,200,200,61,0.7526190476190476,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.19455779200143297,0.07538958499935688,,0.765,0.8066666666666668
bike_sharing,regression,Random Forest,438,146,147,11,-649.3553908732125,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.12703870800032746,0.09836536054269784,688.4155544523147,,
appliances_energy,regression,Random Forest,11841,3947,3947,31,-69.45890789079039,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",5.4208482909998565,0.019900240688854327,63.501527223095735,,
