Feature,xRFM_AGOP,PCA_Loadings,Mutual_Info,Permutation
num__weekday,1.0,0.017274057,0.05573311615967437,0.27454136295843284
num__month,0.9666666666666667,0.9134941,0.15631210926010325,0.16663035369230006
num__day,0.9333333333333333,0.15274145,0.23269935846020848,0.1921362086528525
num__hour,0.9,0.15887003,1.0,0.19375441401580112
num__rv2,0.8666666666666667,0.029509518,0.04730699155161671,-0.04116859744360099
num__rv1,0.8333333333333334,0.029509518,0.04728395293322066,-0.04116864656497315
num__Tdewpoint,0.8,0.67776644,0.2133066824149817,0.1167453161236606
num__Visibility,0.7666666666666667,0.108488716,0.145426404469114,0.11660490268135151
num__Windspeed,0.7333333333333333,0.09357676,0.12508120299034284,0.21602776339954283
num__RH_out,0.7,0.5324704,0.2736571821188811,0.1423101658521729
num__Press_mm_hg,0.6666666666666666,0.16481529,0.3293335619912096,0.12326119245815012
num__T_out,0.6333333333333333,0.87416303,0.29922103897882935,0.08023391597420883
num__RH_9,0.6,0.009565455,0.2891250963798376,0.27155380110388
num__T9,0.5666666666666667,1.0,0.43248174845567927,0.08608034168826473
num__RH_8,0.5333333333333333,0.115388446,0.32223305139621194,0.2540892621294483
num__T8,0.5,0.89564604,0.4353823666755222,0.374497755460301
num__RH_7,0.4666666666666667,0.062416397,0.2885630156711002,0.11369910335075299
num__T7,0.43333333333333335,0.9755761,0.44259724295567243,0.09671256444877531
num__RH_6,0.4,0.85821795,0.3824281402742456,0.10741530093901643
num__T6,0.36666666666666664,0.867141,0.32352067313887195,0.16302592564620702
num__RH_5,0.3333333333333333,0.115421206,0.2795121840275081,0.1636715278404587
num__T5,0.3,0.9641308,0.4314075658740761,0.1138408676307964
num__RH_4,0.26666666666666666,0.0055160667,0.3225311670649837,0.22833617930283265
num__T4,0.23333333333333334,0.97111547,0.3946886317777343,0.15447770166011818
num__RH_3,0.2,0.15946217,0.301785049774032,0.2909270246755073
num__T3,0.16666666666666666,0.9735847,0.44625338495672473,0.34030861730091566
num__RH_2,0.13333333333333333,0.05703611,0.28206120834272014,1.0
num__T2,0.1,0.87794065,0.3412323223491467,0.21515969051079473
num__RH_1,0.06666666666666667,0.15151961,0.33606985378582205,0.9502301274883813
num__T1,0.03333333333333333,0.9647764,0.38654115370098413,0.16727357350000216
num__lights,0.0,0.116758585,0.15545188950279412,0.26137889831814565
