dataset,LightGBM_accuracy,LightGBM_auc_roc,LightGBM_inference_time_per_sample_ms,LightGBM_train_time_sec,Random Forest_accuracy,Random Forest_auc_roc,Random Forest_inference_time_per_sample_ms,Random Forest_train_time_sec,XGBoost_accuracy,XGBoost_auc_roc,XGBoost_inference_time_per_sample_ms,XGBoost_train_time_sec,xRFM_accuracy,xRFM_auc_roc,xRFM_inference_time_per_sample_ms,xRFM_train_time_sec
divorce,0.9411764705882352,0.9965397923875432,0.0429970592342536,0.0201926000299863,0.9411764705882352,0.9896193771626296,0.8406911767772672,0.1383210000349208,0.9411764705882352,0.9965397923875432,0.0799676465034923,0.0435149000259116,0.9411764705882352,1.0,0.0166970592759111,0.0098668999853543
german_credit,0.75,0.7691666666666667,0.0113280001096427,0.3094921999727376,0.77,0.7855357142857143,0.1314734999323263,0.1594104999676346,0.75,0.7757142857142857,0.0162210001144558,0.0888422999996692,0.77,0.7918452380952381,0.0047255001845769,0.0187902000034227
wine,1.0,1.0,0.0335916669832335,0.0600139999878592,1.0,1.0,1.244627778457167,0.276068499952089,1.0,1.0,0.0614555562303091,0.0766808000043965,0.7222222222222222,0.7575757575757575,0.0163472221983182,0.0174103999743238
