dataset,task_type,model,n_train,n_val,n_test,n_features,best_validation_score,best_params,train_time_sec,inference_time_per_sample_ms,rmse,accuracy,auc_roc
wine,classification,xRFM,106,36,36,13,0.7222222222222222,"{""fit"": {""early_stop_rfm"": true, ""iters"": 5, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 5.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}",0.01741039997432381,0.016347222198318277,,0.7222222222222222,0.7575757575757575
divorce,classification,xRFM,102,34,34,54,1.0,"{""fit"": {""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 5.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}",0.009866899985354394,0.016697059275911134,,0.9411764705882353,1.0
german_credit,classification,xRFM,600,200,200,61,0.725,"{""fit"": {""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 10.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}",0.018790200003422797,0.004725500184576958,,0.77,0.7918452380952381
bike_sharing,regression,xRFM,438,146,147,11,634.5498404380857,"{""fit"": {""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 5.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}",0.006611499993596226,0.0056639459414952464,667.873678175746,,
appliances_energy,regression,xRFM,11841,3947,3947,31,76.20139972672746,"{""fit"": {""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 10.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}",8.882426799973473,0.018974486953754203,75.76109590247326,,
