dataset,model,train_size,rmse,train_time_sec,inference_time_per_sample_ms
appliances_energy,XGBoost,1000,89.54583487225271,1.981078599987086,0.0010729668103205666
appliances_energy,LightGBM,1000,89.82991734669665,0.30995760002406314,0.002429110720311958
appliances_energy,Random Forest,1000,88.24853092395149,0.391459800011944,0.017673346850018708
appliances_energy,xRFM,1000,89.07499364124311,0.05636909999884665,0.0007150494075900079
appliances_energy,XGBoost,3000,83.07518773018963,0.41299959999741986,0.0010111983801791087
appliances_energy,LightGBM,3000,83.84841307924272,0.348525499983225,0.0019855586551639484
appliances_energy,Random Forest,3000,81.45075584590525,0.5578021000255831,0.02051289586200725
appliances_energy,xRFM,3000,84.53167167177637,0.2899348000064492,0.0031428426615742826
appliances_energy,XGBoost,6000,76.97304469341849,0.46574900002451614,0.0013712946547812107
appliances_energy,LightGBM,6000,74.50463422648139,0.3772296000388451,0.0018906764662983842
appliances_energy,Random Forest,6000,74.8314405166018,0.7433947999961674,0.020457182665553
appliances_energy,xRFM,6000,80.96243281512575,1.8608012999757193,0.008657968082553244
appliances_energy,XGBoost,10000,72.31025142355335,0.5131979000288993,0.0009953382304436138
appliances_energy,LightGBM,10000,70.13787373647142,0.3680241999682039,0.00182487965899576
appliances_energy,Random Forest,10000,69.56141888732895,1.15067799994722,0.017798707879700327
appliances_energy,xRFM,10000,77.10837290382284,5.945000599953346,0.016056017231451943
appliances_energy,XGBoost,11841,70.45554546463146,0.533893599989824,0.00098821890408521
appliances_energy,LightGBM,11841,68.55019537569608,0.38702560000820085,0.001807904730059918
appliances_energy,Random Forest,11841,67.53128118122898,1.3322234000079334,0.02033544465352519
appliances_energy,xRFM,11841,75.76185963266741,8.98427429998992,0.01926838106154633
